tran_proto, avg_sent_len, avg_rec_len, avg_sent_ttl, average_rec_ttl, label
0,13,1290,20,37,2
0,13,1269,21,37,2
0,13,1260,21,37,2
0,15,1553,25,34,2
0,15,1482,25,34,2
0,15,1428,24,34,2
0,15,1435,25,34,2
0,15,1457,24,34,2
0,15,1424,24,34,2
0,15,1441,24,34,2
0,19,1220,24,34,2
0,19,1231,23,35,2
0,18,1210,23,35,2
0,25,1491,28,31,2
0,25,1552,28,30,2
0,20,1602,26,32,2
0,22,1583,27,32,2
0,22,1188,25,33,2
0,25,1121,27,32,2
0,21,1182,24,34,2
0,22,1483,27,32,2
0,21,1614,27,31,2
0,29,1510,30,29,2
0,27,1477,29,30,2
0,24,1574,28,31,2
0,18,1248,23,35,2
0,21,1190,24,34,2
0,19,1205,24,34,2
0,22,1153,25,33,2
0,20,1674,27,32,2
0,26,26,32,28,1
0,26,26,32,121,1
0,37,37,32,28,1
0,26,26,32,28,1
0,26,26,32,28,1
0,26,26,32,28,1
0,26,26,32,28,1
0,26,26,32,28,1
0,26,26,32,28,1
0,26,26,32,28,1
0,28,26,32,27,1
0,26,26,32,28,1
0,25,29,27,30,1
0,29,26,32,27,1
0,29,26,32,27,1
0,26,1327,25,73,1
0,26,26,32,28,1
0,26,26,32,53,1
0,26,26,32,28,1
0,26,26,32,28,1
0,89,82,26,70,1
0,26,1354,25,72,1
0,26,26,32,28,1
0,26,26,32,28,1
0,26,26,32,28,1
0,26,26,32,121,1
0,26,26,32,28,1
0,26,26,32,28,1
0,26,26,32,28,1
0,26,26,32,28,1
0,26,26,32,28,1
0,26,26,32,28,1
0,26,26,32,28,1
0,26,26,32,28,1
0,26,26,32,28,1
0,26,26,32,53,1
0,31,23,38,22,1
0,26,26,32,121,1
0,26,26,32,28,1
0,26,26,32,28,1
0,26,26,32,28,1
0,26,26,32,28,1
0,26,26,32,28,1
0,26,26,32,28,1
0,26,26,32,28,1
0,26,26,32,28,1
0,26,26,32,28,1
0,26,26,32,53,1
0,98,85,24,73,1
0,29,1269,26,70,1
