tran_proto, avg_sent_len, avg_rec_len, avg_sent_ttl, average_rec_ttl, label
6 , 26 , 26 , 32 , 60 , 1
6 , 26 , 26 , 32 , 60 , 1
6 , 163 , 47 , 24 , 73 , 1
6 , 47 , 30 , 42 , 40 , 1
6 , 26 , 26 , 32 , 61 , 1
6 , 35 , 35 , 32 , 60 , 1
6 , 30 , 1150 , 27 , 70 , 1
6 , 52 , 0 , 64 , 0 , 1
17 , 0 , 78 , 0 , 64 , 1
6 , 26 , 26 , 32 , 60 , 1
6 , 26 , 26 , 32 , 60 , 1
6 , 55 , 26 , 32 , 59 , 1
6 , 27 , 26 , 25 , 73 , 1
6 , 97 , 62 , 25 , 73 , 1
6 , 39 , 17 , 42 , 79 , 1
6 , 26 , 26 , 32 , 115 , 1
6 , 31 , 20 , 38 , 95 , 1
6 , 31 , 20 , 38 , 95 , 1
6 , 27 , 17 , 36 , 91 , 1
6 , 47 , 30 , 42 , 40 , 1
6 , 25 , 1285 , 24 , 76 , 1
6 , 40 , 22 , 36 , 105 , 1
17 , 0 , 380 , 0 , 4 , 1
6 , 37 , 37 , 32 , 62 , 1
17 , 0 , 78 , 0 , 64 , 1
6 , 31 , 17 , 36 , 24 , 1
6 , 26 , 26 , 32 , 60 , 1
6 , 26 , 26 , 32 , 60 , 1
6 , 39 , 26 , 42 , 18 , 1
6 , 83 , 78 , 25 , 72 , 1
6 , 34 , 26 , 36 , 99 , 1
6 , 24 , 1284 , 24 , 75 , 1
6 , 55 , 26 , 32 , 59 , 1
6 , 37 , 37 , 32 , 62 , 1
6 , 50 , 32 , 42 , 81 , 1
6 , 50 , 32 , 42 , 77 , 1
6 , 50 , 32 , 42 , 81 , 1
6 , 40 , 22 , 36 , 105 , 1
17 , 0 , 78 , 0 , 64 , 1
17 , 0 , 380 , 0 , 4 , 1
6 , 26 , 26 , 32 , 60 , 1
6 , 26 , 26 , 32 , 60 , 1
6 , 40 , 19 , 40 , 45 , 1
6 , 45 , 72 , 32 , 59 , 1
6 , 40 , 19 , 40 , 45 , 1
6 , 29 , 1165 , 26 , 72 , 1
6 , 47 , 30 , 42 , 40 , 1
17 , 0 , 78 , 0 , 64 , 1
6 , 28 , 1226 , 25 , 74 , 1
6 , 31 , 20 , 38 , 48 , 1
6 , 31 , 20 , 38 , 48 , 1
6 , 55 , 26 , 32 , 59 , 1
6 , 88 , 50 , 24 , 75 , 1
6 , 34 , 17 , 42 , 18 , 1
6 , 34 , 17 , 42 , 18 , 1
6 , 37 , 37 , 32 , 62 , 1
6 , 21 , 1311 , 23 , 78 , 1
6 , 32 , 15 , 40 , 21 , 1
17 , 0 , 78 , 0 , 64 , 1
6 , 40 , 22 , 36 , 105 , 1
6 , 47 , 17 , 42 , 81 , 1
6 , 42 , 19 , 40 , 86 , 1
6 , 50 , 32 , 42 , 41 , 1
6 , 40 , 51 , 32 , 59 , 1
17 , 0 , 380 , 0 , 4 , 1
6 , 20 , 1390 , 21 , 80 , 1
6 , 26 , 75 , 32 , 59 , 1
17 , 0 , 78 , 0 , 64 , 1
6 , 90 , 50 , 24 , 75 , 1
6 , 38 , 20 , 36 , 51 , 1
6 , 22 , 885 , 25 , 73 , 1
6 , 55 , 26 , 32 , 59 , 1
17 , 0 , 380 , 0 , 4 , 1
17 , 0 , 78 , 0 , 64 , 1
6 , 40 , 19 , 40 , 45 , 1
6 , 23 , 1372 , 23 , 78 , 1
6 , 110 , 97 , 23 , 77 , 1
17 , 34 , 61 , 32 , 32 , 1
17 , 0 , 78 , 0 , 64 , 1
6 , 40 , 22 , 36 , 53 , 1
6 , 30 , 1207 , 25 , 73 , 1
6 , 55 , 26 , 32 , 59 , 1
6 , 90 , 75 , 23 , 76 , 1
6 , 25 , 1368 , 22 , 80 , 1
