tran_proto, avg_sent_len, avg_rec_len, avg_sent_ttl, average_rec_ttl, label
6 , 57 , 35 , 32 , 26 , 2
6 , 32 , 28 , 32 , 28 , 2
6 , 20 , 20 , 32 , 28 , 2
6 , 62 , 28 , 32 , 26 , 2
6 , 20 , 136 , 32 , 28 , 2
6 , 188 , 33 , 36 , 24 , 2
6 , 44 , 52 , 32 , 26 , 2
6 , 20 , 20 , 32 , 28 , 2
6 , 61 , 32 , 32 , 26 , 2
6 , 32 , 28 , 32 , 28 , 2
6 , 50 , 43 , 32 , 26 , 2
6 , 20 , 73 , 32 , 28 , 2
6 , 59 , 32 , 32 , 26 , 2
6 , 20 , 20 , 32 , 28 , 2
6 , 58 , 35 , 32 , 25 , 2
6 , 20 , 80 , 32 , 28 , 2
6 , 189 , 33 , 36 , 24 , 2
6 , 25 , 47 , 32 , 28 , 2
6 , 62 , 29 , 32 , 26 , 2
6 , 58 , 33 , 32 , 26 , 2
6 , 20 , 102 , 32 , 28 , 2
