tran_proto, avg_sent_len, avg_rec_len, avg_sent_ttl, average_rec_ttl, label
6 , 39 , 58 , 26 , 71 , 4
6 , 259 , 71 , 38 , 92 , 4
6 , 37 , 722 , 27 , 69 , 4
6 , 67 , 194 , 37 , 43 , 4
6 , 55 , 405 , 28 , 63 , 4
6 , 66 , 196 , 34 , 48 , 4
6 , 67 , 194 , 37 , 43 , 4
6 , 63 , 180 , 37 , 44 , 4
6 , 32 , 837 , 30 , 119 , 4
6 , 87 , 162 , 36 , 102 , 4
6 , 54 , 771 , 30 , 28 , 4
6 , 46 , 908 , 28 , 30 , 4
6 , 41 , 829 , 31 , 28 , 4
6 , 87 , 153 , 36 , 23 , 4
6 , 87 , 153 , 36 , 23 , 4
6 , 87 , 153 , 36 , 23 , 4
6 , 182 , 15 , 48 , 13 , 4
6 , 182 , 15 , 48 , 13 , 4
6 , 60 , 0 , 64 , 0 , 4
6 , 60 , 0 , 64 , 0 , 4
6 , 60 , 0 , 64 , 0 , 4
6 , 60 , 0 , 64 , 0 , 4
6 , 60 , 0 , 64 , 0 , 4
6 , 60 , 0 , 64 , 0 , 4
6 , 60 , 0 , 64 , 0 , 4
6 , 60 , 0 , 64 , 0 , 4
6 , 60 , 0 , 64 , 0 , 4
6 , 39 , 928 , 23 , 34 , 4
6 , 42 , 597 , 30 , 28 , 4
6 , 39 , 895 , 26 , 32 , 4
6 , 39 , 524 , 31 , 28 , 4
6 , 40 , 691 , 29 , 29 , 4
6 , 63 , 33 , 35 , 24 , 4
6 , 29 , 1125 , 31 , 116 , 4
6 , 88 , 495 , 25 , 72 , 4
6 , 53 , 508 , 34 , 109 , 4
6 , 66 , 268 , 36 , 103 , 4
6 , 110 , 215 , 38 , 95 , 4
6 , 73 , 131 , 35 , 105 , 4
6 , 28 , 1123 , 23 , 150 , 4
6 , 60 , 249 , 35 , 105 , 4
6 , 35 , 857 , 25 , 144 , 4
6 , 76 , 342 , 37 , 100 , 4
6 , 24 , 1104 , 22 , 78 , 4
6 , 102 , 17 , 42 , 40 , 4
6 , 61 , 286 , 36 , 50 , 4
6 , 34 , 17 , 42 , 39 , 4
6 , 26 , 26 , 32 , 116 , 4
6 , 26 , 26 , 32 , 27 , 4
6 , 26 , 26 , 32 , 27 , 4
6 , 26 , 26 , 32 , 27 , 4
6 , 26 , 26 , 32 , 60 , 4
6 , 26 , 26 , 32 , 60 , 4
6 , 26 , 26 , 32 , 60 , 4
6 , 26 , 26 , 32 , 60 , 4
6 , 49 , 619 , 33 , 30 , 4
6 , 35 , 989 , 25 , 32 , 4
6 , 31 , 750 , 32 , 27 , 4
6 , 32 , 985 , 29 , 29 , 4
6 , 36 , 1010 , 28 , 30 , 4
6 , 55 , 526 , 34 , 25 , 4
6 , 45 , 306 , 33 , 26 , 4
6 , 71 , 157 , 32 , 119 , 4
6 , 34 , 913 , 30 , 121 , 4
6 , 26 , 26 , 32 , 27 , 4
6 , 26 , 26 , 32 , 27 , 4
6 , 26 , 26 , 32 , 27 , 4
6 , 26 , 26 , 32 , 60 , 4
6 , 26 , 26 , 32 , 60 , 4
6 , 26 , 26 , 32 , 60 , 4
6 , 26 , 26 , 32 , 60 , 4
6 , 55 , 405 , 38 , 22 , 4
6 , 45 , 1034 , 27 , 31 , 4
6 , 286 , 102 , 42 , 77 , 4
6 , 52 , 848 , 27 , 31 , 4
6 , 29 , 39 , 33 , 109 , 4
6 , 52 , 591 , 33 , 24 , 4
6 , 26 , 26 , 32 , 27 , 4
6 , 28 , 24 , 34 , 25 , 4
6 , 54 , 85 , 34 , 25 , 4
6 , 26 , 26 , 32 , 60 , 4
6 , 26 , 26 , 32 , 60 , 4
6 , 53 , 71 , 34 , 56 , 4
6 , 26 , 26 , 32 , 60 , 4
6 , 26 , 30 , 27 , 31 , 4
6 , 26 , 30 , 27 , 31 , 4
6 , 26 , 28 , 28 , 30 , 4
6 , 26 , 28 , 28 , 30 , 4
6 , 26 , 28 , 28 , 30 , 4
6 , 22 , 35 , 21 , 36 , 4
6 , 26 , 26 , 32 , 119 , 4
6 , 26 , 26 , 32 , 119 , 4
6 , 45 , 709 , 32 , 24 , 4
6 , 60 , 182 , 34 , 55 , 4
6 , 74 , 33 , 36 , 23 , 4
6 , 37 , 879 , 33 , 57 , 4
